English,Hindi,HinEnglish,Marathi,MarathiEnglish,Tamil,TamilEnglish,Japanese,Romanization
He is learning to play the guitar.,वह गिटार बजाना सीख रहा है।,Woh guitar bajana seekh raha hai.,तो गिटार वाजवणे शिकत आहे।,To guitar vaajavne shikat ahe.,அவர் கிதார் வாசிப்பதை கற்றுக் கொண்டிருக்கிறார்.,Avar kithaar vaasippathai kattuk kondirukkirar.,彼はギターを弾くことを学んでいます。,Kare wa gitaa o hiku koto o manande imasu.
She is very happy with her new car.,वह अपनी नई कार से बहुत खुश है।,Woh apni nai car se bahut khush hai.,ती तिच्या नवनवीन कारने खूप आनंदी आहे.,Tee tichya navanaveen kaarne khoop aanandi ahe.,அவர் தனது புதிய காரில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya kaaril mikavum makizhchiyaga ullaar.,彼女は新しい車にとても満足しています。,Kanojo wa atarashii kuruma ni totemo manzoku shite imasu.
We are going to watch a movie tonight.,हम आज रात एक फिल्म देखने जा रहे हैं।,Hum aaj raat ek film dekhne ja rahe hain.,आम्ही आज रात्री एक चित्रपट पाहणार आहोत।,Aamhi aaj raatri ek chitrapat paahnaar aahot.,நாங்கள் இன்று இரவு ஒரு திரைப்படம் பார்க்கப் போகிறோம்.,Naangal indru iravu oru thiraipadaam paarkka pokiroam.,私たちは今晩映画を見に行きます。,Watashitachi wa konban eiga o mi ni ikimasu.
They have adopted a cute puppy.,उन्होंने एक प्यारा सा पिल्ला गोद लिया है।,Unhone ek pyaara sa pup god liya hai.,ते एक छान शावक दत्तक घेतले आहे।,Te ek chaan shaavak dattak ghetle ahe.,அவர்கள் ஒரு அழகான குட்டி நாயை தத்தெடுத்துள்ளனர்.,Avargal oru azhagaana kutti naayai thatheduthullaar.,彼らはかわいい子犬を飼うことにしました。,Karera kawaii koinu o kau koto ni shimashita.
The chef prepared a delicious meal for us.,शेफ ने हमारे लिए एक स्वादिष्ट भोजन तैयार किया।,Chef ne hamare liye ek swaadisht bhojan taiyaar kiya.,शेफने आमच्या साठी एक छान जेवण तयार केले।,Chefne aamchya saathi ek chaan jevan taiyaar kele.,செப் நமக்காக ஒரு ருசியான உணவை தயார் செய்தார்.,Chep namakkaaga oru rusiyaana unavai thayaar seithaar.,シェフは私たちのために美味しい食事を準備しました。,Shefu wa watashi-tachi no tame ni oishii shokuji o junbi shimashita.
She is practicing yoga every morning.,वह हर सुबह योगाभ्यास कर रही है।,Woh har subah yogaabhyaas kar rahi hai.,ती प्रत्येक सकाळी योगाचा सराव करत आहे।,Tee pratyek sakaali yogaacha saraav karat ahe.,அவர் ஒவ்வொரு காலையும் யோகா பயிற்சி செய்கிறார்.,Avar ovvoru kaalaiyum yoga payirchi seykirar.,彼女は毎朝ヨガを練習しています。,Kanojo wa maiasa yoga o renshuu shite imasu.
We need to book our tickets in advance.,हमें अपनी टिकटें पहले से बुक करनी चाहिए।,Hamein apni ticketain pehle se book karni chahiye.,आम्हाला आमच्या तिकिटे आधी बुक करायला हव्यात।,Aamhaala aamchya tikite aadhi book karaayla havyaat.,நாங்கள் நமது டிக்கெட்டுகளை முன்கூட்டியே புக் செய்ய வேண்டும்.,Naangal namadhu ticketkugalai munkoottiyae book seyyavendum.,私たちはチケットを前もって予約する必要があります。,Watashitachi wa chiketto o maemotte yoyaku suru hitsuyou ga arimasu.
He is very good at playing football.,वह फुटबॉल खेलने में बहुत अच्छा है।,Woh football khelne mein bahut accha hai.,तो फुटबॉल खेळण्यात खूप चांगला आहे।,To football khelnyat khoop chaangla ahe.,அவர் கால்பந்து விளையாடுவதில் மிகவும் நல்லவர்.,Avar kaalpanthu vilaiyaaduvathil mikavum nallavar.,彼はサッカーをするのがとても上手です。,Kare wa sakkaa o suru no ga totemo jouzu desu.
She is looking for a new job.,वह एक नई नौकरी की तलाश कर रही है।,Woh ek nai naukri ki talaash kar rahi hai.,ती एक नवनोकरी शोधत आहे।,Tee ek navnokri shodhat ahe.,அவர் ஒரு புதிய வேலையை தேடுகிறார்.,Avar oru puthiya velaiyai thedukirar.,彼女は新しい仕事を探しています。,Kanojo wa atarashii shigoto o sagashite imasu.
They are going to celebrate their anniversary next month.,वे अगले महीने अपनी वर्षगांठ मनाने जा रहे हैं।,We agle mahine apni varshagaanth manaane ja rahe hain.,ते पुढच्या महिन्यात त्यांची वर्धापनदिन साजरा करणार आहेत।,Te pudhchya mahinyaat tyaanchi vardhaapandin saajraa karanaar aahot.,அவர்கள் அடுத்த மாதம் அவர்களின் ஆண்டு விழாவை கொண்டாட உள்ளனர்.,Avargal adutha maatham avargalin aandu vizhaavai kondadullaar.,彼らは来月、記念日を祝う予定です。,Karera raigetsu, kinenbi o iwau yotei desu.
The garden is full of beautiful flowers.,बगीचा खूबसूरत फूलों से भरा हुआ है।,Bagicha khoobsurat phulon se bhara hua hai.,बगिचा सुंदर फुलांनी भरलेला आहे।,Bagicha sundar phulanni bharlela ahe.,தோட்டம் அழகிய பூக்களால் நிரம்பியுள்ளது.,Thottam azhagiya pookkalal nirambiyulladhu.,庭は美しい花でいっぱいです。,Niwa wa utsukushii hana de ippai desu.
She is very talented in painting.,वह चित्रकला में बहुत प्रतिभाशाली है।,Woh chitrakala mein bahut pratibhaashaali hai.,ती चित्रकलेत खूप हावी आहे।,Tee chitrakalet khoop haavi ahe.,அவர் ஓவியத்தில் மிகவும் திறமைசாலி.,Avar oviyam thil mikavum thiramaichali.,彼女は絵を描くのがとても上手です。,Kanojo wa e o egaku no ga totemo jouzu desu.
We are going to visit our relatives during the holidays.,हम छुट्टियों के दौरान अपने रिश्तेदारों से मिलने जा रहे हैं।,Hum chhuttiyon ke dauran apne rishtedaaron se milne ja rahe hain.,आम्ही सुट्टीच्या दिवसी आमच्या नातेवाईकांना भेटणार आहोत।,Aamhi sutteechya divasi aamchya naatevaaikaanna bhetanaar aahot.,நாங்கள் விடுமுறை நாட்களில் எங்கள் உறவினர்களை சந்திக்கப் போகிறோம்.,Naangal vidumurai naatkalin engal uravinargalai santhikka pokiroam.,私たちは休暇中に親戚を訪ねる予定です。,Watashitachi wa kyuuka chuu ni shinseki o tazuneru yotei desu.
He is very proud of his achievements.,वह अपनी उपलब्धियों पर बहुत गर्व महसूस कर रहा है।,Woh apni upalabdhiyon par bahut garv mahasoos kar raha hai.,तो त्याच्या उपलब्धीवर खूप अभिमान वाटत आहे।,To tyachya upalabdhivar khoop abhimaan vaatat ahe.,அவர் தனது சாதனைகளில் மிகவும் பெருமை கொள்கிறார்.,Avar thanatha saadanaigalin mikavum perumai kolkirar.,彼は自分の達成にとても誇りを持っています。,Kare wa jibun no tassei ni totemo hokori o motte imasu.
She is very kind and always helps others.,वह बहुत दयालु है और हमेशा दूसरों की मदद करती है।,Woh bahut dayaalu hai aur hamesha doosron ki madad karti hai.,ती खूप दयाळू आहे आणि सदैव इतरांना मदत करते।,Tee khoop dayaalu ahe ani sadaiv itraanna madat karte.,அவர் மிகவும் கருணையுள்ளவர் மற்றும் எப்போதும் மற்றவர்களுக்கு உதவுகிறார்.,Avar mikavum karunaiyullavar mattum eppothum matravarkalukku uthavukirar.,彼女はとても親切で、いつも他人の助けになります。,Kanojo wa totemo shinsetsu de, itsumo tanin no tasuke ni narimasu.
They are planning to buy a new house.,वे एक नया घर खरीदने की योजना बना रहे हैं।,We ek naya ghar khareedne ki yojana bana rahe hain.,ते एक नवीन घर विकत घेण्याची योजना आखत आहेत।,Te ek naveen ghar vikat ghenyaachi yojana aakhat aahot.,அவர்கள் ஒரு புதிய வீடு வாங்க திட்டமிட்டுள்ளனர்.,Avargal oru puthiya veedu vaanga thittamittullaar.,彼らは新しい家を買う計画を立てています。,Karera atarashii ie o kau keikaku o tate te imasu.
The children are excited about the school trip.,बच्चे स्कूल ट्रिप को लेकर उत्साहित हैं।,Bacche school trip ko lekar utsaahit hain.,मुले शाळा प्रवासाबद्दल उत्साहित आहेत।,Mule shaalaa pravaasaabaddal utsaahit aahot.,குழந்தைகள் பள்ளி பயணம் குறித்து உற்சாகமாக உள்ளனர்.,Kuzhandhaigal palli payanam kurithu urchaagam ullaar.,子供たちは学校の遠足を楽しみにしています。,Kodomotachi wa gakkou no ensoku o tanoshimi ni shite imasu.
She is very happy with her new job.,वह अपनी नई नौकरी से बहुत खुश है।,Woh apni nai naukri se bahut khush hai.,ती तिच्या नवनोकरीने खूप आनंदी आहे.,Tee tichya navnokrine khoop aanandi ahe.,அவர் தனது புதிய வேலையில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya velaiyil mikavum makizhchiyaga ullaar.,彼女は新しい仕事にとても満足しています。,Kanojo wa atarashii shigoto ni totemo manzoku shite imasu.
He is learning to play the piano.,वह पियानो बजाना सीख रहा है।,Woh piano bajana seekh raha hai.,तो पियानो वाजवणे शिकत आहे.,To piano vaajavne shikat ahe.,அவர் பியானோ வாசிப்பதை கற்றுக் கொண்டிருக்கிறார்.,Avar piyaano vaasippathai kattuk kondirukkirar.,彼はピアノを弾くことを学んでいます。,Kare wa piano o hiku koto o manande imasu.
We are going to have a family dinner tonight.,हम आज रात एक परिवारिक रात्रिभोज करने जा रहे हैं।,Hum aaj raat ek parivaarik raatribhoj karne ja rahe hain.,आम्ही आज रात्री एक कुटुंबासोबत जेवण करणार आहोत।,Aamhi aaj raatri ek kutumbasobat jevan karanaar aahot.,நாங்கள் இன்று இரவு ஒரு குடும்ப உணவை சாப்பிட போகிறோம்.,Naangal indru iravu oru kutumpa unavai saappidu pokiroam.,私たちは今晩家族で夕食を食べる予定です。,Watashitachi wa konban kazoku de yuushoku o taberu yotei desu.
They are going to the beach for a vacation.,वे छुट्टी के लिए समुद्र तट पर जा रहे हैं।,We chhutti ke liye samudra tat par ja rahe hain.,ते सुट्टीच्या साठी समुद्रकिनारी जात आहेत।,Te sutteechya saathi samudrakinari jaat aahot.,அவர்கள் விடுமுறைக்காக கடற்கரைக்கு செல்கிறார்கள்.,Avargal vidumuraikkaaga kadarkaraikku selkiraar.,彼らは休暇でビーチに行きます。,Karera kyuuka de biichi ni ikimasu.
She is very good at singing.,वह गाने में बहुत अच्छी है।,Woh gaane mein bahut acchi hai.,ती गाण्यात खूप छान आहे.,Tee gaanyaat khoop chaan ahe.,அவர் பாடுவதில் மிகவும் நல்லவர்.,Avar paaduvathil mikavum nallavar.,彼女は歌がとても上手です。,Kanojo wa uta ga totemo jouzu desu.
He is very excited about his upcoming trip to Japan.,वह अपने आगामी जापान यात्रा के बारे में बहुत उत्साहित है।,Woh apne aagami Japan yatra ke baare mein bahut utsaahit hai.,तो त्याच्या आगामी जपान प्रवासाबद्दल खूप उत्साहित आहे.,To tyachya aagami Japan pravaasaabaddal khoop utsaahit ahe.,அவர் வரவிருக்கும் ஜப்பான் பயணம் குறித்து மிகவும் உற்சாகமாக உள்ளார்.,Avar varavirukkum Japan payanam kurithu mikavum urchaagam ullaar.,彼は今後の日本旅行をとても楽しみにしています。,Kare wa kongo no Nihon ryokou o totemo tanoshimi ni shite imasu.
We are going to celebrate our friend's birthday.,हम अपने दोस्त का जन्मदिन मनाने जा रहे हैं।,Hum apne dost ka janmadin manaane ja rahe hain.,आम्ही आमच्या मित्राचा वाढदिवस साजरा करणार आहोत।,Aamhi aamchya mitraacha vaadhdivas saajraa karanaar aahot.,நாங்கள் எங்கள் நண்பரின் பிறந்தநாளை கொண்டாட போகிறோம்.,Naangal engal nanbarin pirandhanaalai kondad pokiroam.,私たちは友達の誕生日を祝う予定です。,Watashitachi wa tomodachi no tanjoubi o iwau yotei desu.
They are planning to start a new business.,वे एक नया व्यवसाय शुरू करने की योजना बना रहे हैं।,We ek naya vyavasaay shuru karne ki yojana bana rahe hain.,ते एक नवीन व्यवसाय सुरू करण्याची योजना आखत आहेत।,Te ek naveen vyavasaay suru karanyaachi yojana aakhat aahot.,அவர்கள் ஒரு புதிய வணிகத்தை தொடங்க திட்டமிட்டுள்ளனர்.,Avargal oru puthiya vanigathai thodanga thittamittullaar.,彼らは新しいビジネスを始める計画を立てています。,Karera atarashii bijinesu o hajimeru keikaku o tate te imasu.
She is very happy with her new car.,वह अपनी नई कार से बहुत खुश है।,Woh apni nai car se bahut khush hai.,ती तिच्या नवनवीन कारने खूप आनंदी आहे.,Tee tichya navanaveen kaarne khoop aanandi ahe.,அவர் தனது புதிய காரில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya kaaril mikavum makizhchiyaga ullaar.,彼女は新しい車にとても満足しています。,Kanojo wa atarashii kuruma ni totemo manzoku shite imasu.
He is learning to cook new recipes.,वह नए व्यंजन पकाना सीख रहा है।,Woh nae vyanjan pakana seekh raha hai.,तो नवीन पदार्थ बनवणे शिकत आहे.,To naveen padaarth banavne shikat ahe.,அவர் புதிய சமையல் முறைகளை கற்றுக் கொண்டிருக்கிறார்.,Avar puthiya samaial murigalai kattuk kondirukkirar.,彼は新しい料理のレシピを学んでいます。,Kare wa atarashii ryouri no reshipi o manande imasu.
We are going to have a picnic in the park.,हम पार्क में पिकनिक करने जा रहे हैं।,Hum park mein picnic karne ja rahe hain.,आम्ही उद्यानात पिकनिक करणार आहोत।,Aamhi udyaanat picnic karanaar aahot.,நாங்கள் பூங்காவில் ஒரு piknikக்காக போகிறோம்.,Naangal poongaa vil oru picnicukkaaga pokiroam.,私たちは公園でピクニックをする予定です。,Watashitachi wa kouen de pikunikku o suru yotei desu.
They are very excited about their new project.,वे अपने नए प्रोजेक्ट के बारे में बहुत उत्साहित हैं।,We apne nae project ke baare mein bahut utsaahit hain.,ते त्यांच्या नवनवीन प्रकल्पाबद्दल खूप उत्साहित आहेत।,Te tyanya navanaveen prakalpabaddal khoop utsaahit aahot.,அவர்கள் தங்கள் புதிய திட்டம் குறித்து மிகவும் உற்சாகமாக உள்ளனர்.,Avargal thangal puthiya thittam kurithu mikavum urchaagam ullaar.,彼らは新しいプロジェクトについてとても興奮しています。,Karera atarashii purojekuto ni tsuite totemo koufun shite imasu.
She is very good at dancing.,वह नाचने में बहुत अच्छी है।,Woh naachne mein bahut acchi hai.,ती नाचण्यात खूप छान आहे.,Tee naachnyaat khoop chaan ahe.,அவர் நடனத்தில் மிகவும் நல்லவர்.,Avar natanathil mikavum nallavar.,彼女はダンスがとても上手です。,Kanojo wa dansu ga totemo jouzu desu.
He is planning to travel around the world.,वह दुनिया भर में यात्रा करने की योजना बना रहा है।,Woh duniya bhar mein yatra karne ki yojana bana raha hai.,तो जगभर प्रवास करण्याची योजना आखत आहे.,To jagabhar pravaas karanyaachi yojana aakhat ahe.,அவர் உலகம் முழுவதும் பயணம் செய்ய திட்டமிட்டுள்ளார்.,Avar ulagam muzhuvadhum payanam seyya thittamittullaar.,彼は世界中を旅行する計画を立てています。,Kare wa sekaijuu o ryokou suru keikaku o tate te imasu.
We are going to watch a concert tonight.,हम आज रात एक संगीत कार्यक्रम देखने जा रहे हैं।,Hum aaj raat ek sangeet kaaryakram dekhne ja rahe hain.,आम्ही आज रात्री एक संगीत कार्यक्रम पाहणार आहोत।,Aamhi aaj raatri ek sangeet kaaryakram paahnaar aahot.,நாங்கள் இன்று இரவு ஒரு இசை நிகழ்ச்சியை பார்க்கப் போகிறோம்.,Naangal indru iravu oru isai nikazhchiyai paarkka pokiroam.,私たちは今晩コンサートを見に行きます。,Watashitachi wa konban konsaato o mi ni ikimasu.
They are going to celebrate their wedding anniversary.,वे अपनी शादी की सालगिरह मनाने जा रहे हैं।,We apni shaadi ki saalgirah manaane ja rahe hain.,ते त्यांच्या लग्नाच्या वर्धापनदिनी साजरी करणार आहेत।,Te tyanya lagnaachya vardhaapandin saajree karanaar aahot.,அவர்கள் தங்கள் திருமண ஆண்டு விழாவை கொண்டாட உள்ளனர்.,Avargal thangal thirumanam aandu vizhaavai kondadullaar.,彼らは結婚記念日を祝う予定です。,Karera kekkon kinenbi o iwau yotei desu.
She is very happy with her new house.,वह अपने नए घर से बहुत खुश है।,Woh apne nae ghar se bahut khush hai.,ती तिच्या नवनवीन घराने खूप आनंदी आहे.,Tee tichya navanaveen gharaane khoop aanandi ahe.,அவர் தனது புதிய வீட்டில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya veettil mikavum makizhchiyaga ullaar.,彼女は新しい家にとても満足しています。,Kanojo wa atarashii ie ni totemo manzoku shite imasu.
He is learning to speak French.,वह फ्रेंच बोलना सीख रहा है।,Woh French bolna seekh raha hai.,तो फ्रेंच बोलणे शिकत आहे.,To French bolne shikat ahe.,அவர் பிரெஞ்சு பேசுவதை கற்றுக் கொண்டிருக்கிறார்.,Avar French paesuvathai kattuk kondirukkirar.,彼はフランス語を話すことを学んでいます。,Kare wa Furansugo o hanasu koto o manande imasu.
We are going to have a barbecue this weekend.,हम इस वीकेंड बारबेक्यू करने जा रहे हैं।,Hum is weekend barbeque karne ja rahe hain.,आम्ही या शनिवार-रविवारी बार्बेक्यू करणार आहोत।,Aamhi ya shanivaar-ravivaari baarbeque karanaar aahot.,நாங்கள் இந்த வார இறுதியில் ஒரு பார்பிக்யூ செய்ய போகிறோம்.,Naangal indha vaara iruthiyil oru barbeque seyyap pokiroam.,私たちは今週末バーベキューをする予定です。,Watashitachi wa konshuumatsu baabeikyuu o suru yotei desu.
They are going to the mountains for a hike.,वे ट्रेकिंग के लिए पहाड़ों पर जा रहे हैं।,We trekking ke liye pahadon par ja rahe hain.,ते ट्रेकिंगसाठी डोंगरांवर जात आहेत।,Te trekkingsaathi dongaraanvar jaat aahot.,அவர்கள் மலையேற்றத்திற்காக மலைகளுக்கு செல்கிறார்கள்.,Avargal malaiyerathathirkaaga malaiygalukku selkiraar.,彼らはハイキングのために山に行きます。,Karera haikingu no tame ni yama ni ikimasu.
She is very good at playing the violin.,वह वायलिन बजाने में बहुत अच्छी है।,Woh violin bajaane mein bahut acchi hai.,ती व्हायोलिन वाजवण्यात खूप छान आहे.,Tee vhaayolin vaajavnyaat khoop chaan ahe.,அவர் வயலின் வாசிப்பதில் மிகவும் நல்லவர்.,Avar violin vaasippathil mikavum nallavar.,彼女はバイオリンを弾くのがとても上手です。,Kanojo wa baiorin o hiku no ga totemo jouzu desu.
He is very excited about his new bicycle.,वह अपनी नई साइकिल के बारे में बहुत उत्साहित है।,Woh apni nai saikal ke baare mein bahut utsaahit hai.,तो त्याच्या नवनवीन सायकलबद्दल खूप उत्साहित आहे.,To tyachya navanaveen saaykalbaddal khoop utsaahit ahe.,அவர் தனது புதிய மிதிவண்டி குறித்து மிகவும் உற்சாகமாக உள்ளார்.,Avar thanatha puthiya mithivanndi kurithu mikavum urchaagam ullaar.,彼は新しい自転車にとても興奮しています。,Kare wa atarashii jitensha ni totemo koufun shite imasu.
We are going to visit a museum tomorrow.,हम कल एक संग्रहालय देखने जा रहे हैं।,Hum kal ek sangrahalay dekhne ja rahe hain.,आम्ही उद्या एक संग्रहालय पाहणार आहोत।,Aamhi udyaa ek sangrahalay paahnaar aahot.,நாங்கள் நாளை ஒரு அருங்காட்சியகத்தை பார்க்கப் போகிறோம்.,Naangal naalai oru arungaatyiyakathai paarkka pokiroam.,私たちは明日博物館に行きます。,Watashitachi wa ashita hakubutsukan ni ikimasu.
They are planning to start a new hobby.,वे एक नया शौक शुरू करने की योजना बना रहे हैं।,We ek naya shauk shuru karne ki yojana bana rahe hain.,ते एक नवीन छंद सुरू करण्याची योजना आखत आहेत।,Te ek naveen chhand suru karanyaachi yojana aakhat aahot.,அவர்கள் ஒரு புதிய பொழுதுபோக்கை தொடங்க திட்டமிட்டுள்ளனர்.,Avargal oru puthiya pozhudhubokkai thodanga thittamittullaar.,彼らは新しい趣味を始める計画を立てています。,Karera atarashii shumi o hajimeru keikaku o tate te imasu.
She is very happy with her new garden.,वह अपने नए बगीचे से बहुत खुश है।,Woh apne nae bagiche se bahut khush hai.,ती तिच्या नवनवीन बगिच्याने खूप आनंदी आहे.,Tee tichya navanaveen bagichyaane khoop aanandi ahe.,அவர் தனது புதிய தோட்டத்தில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya thottathil mikavum makizhchiyaga ullaar.,彼女は新しい庭にとても満足しています。,Kanojo wa atarashii niwa ni totemo manzoku shite imasu.
He is learning to swim.,वह तैरना सीख रहा है।,Woh tairna seekh raha hai.,तो पोहणे शिकत आहे.,To pohne shikat ahe.,அவர் நீச்சல் கற்றுக் கொண்டிருக்கிறார்.,Avar neechal kattuk kondirukkirar.,彼は泳ぐことを学んでいます。,Kare wa oyogu koto o manande imasu.
We are going to have a family reunion.,हम एक परिवारिक पुनर्मिलन करने जा रहे हैं।,Hum ek parivaarik punarmilan karne ja rahe hain.,आम्ही एक कुटुंब पुनर्मिलन करणार आहोत।,Aamhi ek kutumb punarmilan karanaar aahot.,நாங்கள் ஒரு குடும்ப மீள்கூட்டலை நடத்த போகிறோம்.,Naangal oru kutumpa meetkoottalai nadaththa pokiroam.,私たちは家族の再会をする予定です。,Watashitachi wa kazoku no saikai o suru yotei desu.
They are going to celebrate their son's graduation.,वे अपने बेटे की स्नातक उपाधि समारोह मनाने जा रहे हैं।,We apne bete ki snaatak upaadhi samaaroh manaane ja rahe hain.,ते त्यांच्या मुलाच्या पदवी समारंभ साजरा करणार आहेत।,Te tyanya mulaachya padavee samaarambh saajraa karanaar aahot.,அவர்கள் தங்கள் மகனின் பட்டமளிப்பு விழாவை கொண்டாட உள்ளனர்.,Avargal thangal maganin pattamalippu vizhaavai kondadullaar.,彼らは息子の卒業式を祝う予定です。,Karera musuko no sotsugyoushiki o iwau yotei desu.
She is very happy with her new pet.,वह अपने नए पालतू जानवर से बहुत खुश है।,Woh apne nae paaltu jaanvar se bahut khush hai.,ती तिच्या नवनवीन पाळीव प्राण्याने खूप आनंदी आहे.,Tee tichya navanaveen paaleev praanyaane khoop aanandi ahe.,அவர் தனது புதிய செல்லப்பிராணியுடன் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya sellappiraaniyudan mikavum makizhchiyaga ullaar.,彼女は新しいペットにとても満足しています。,Kanojo wa atarashii petto ni totemo manzoku shite imasu.
He is planning to start a new exercise routine.,वह एक नया व्यायाम दिनचर्या शुरू करने की योजना बना रहा है।,Woh ek naya vyaayam dinacharya shuru karne ki yojana bana raha hai.,तो एक नवीन व्यायाम दिनचर्या सुरू करण्याची योजना आखत आहे.,To ek naveen vyaayam dinacharya suru karanyaachi yojana aakhat ahe.,அவர் ஒரு புதிய உடற்பயிற்சி வழக்கத்தை தொடங்க திட்டமிட்டுள்ளார்.,Avar oru puthiya udarpayirchi vazhakkaith thodanga thittamittullaar.,彼は新しいエクササイズルーティンを始める計画を立てています。,Kare wa atarashii ekusasaizu ruutin o hajimeru keikaku o tate te imasu.
We are going to watch a play at the theater.,हम थिएटर में एक नाटक देखने जा रहे हैं।,Hum theatre mein ek naatak dekhne ja rahe hain.,आम्ही नाट्यगृहात एक नाटक पाहणार आहोत।,Aamhi naatyagruhaat ek naatak paahnaar aahot.,நாங்கள் அரங்கில் ஒரு நாடகத்தை பார்க்கப் போகிறோம்.,Naangal arangil oru naadagathai paarkka pokiroam.,私たちは劇場で劇を見に行きます。,Watashitachi wa gekijou de geki o mi ni ikimasu.
They are going to have a baby shower.,वे एक बेबी शावर करने जा रहे हैं।,We ek baby shower karne ja rahe hain.,ते एक बेबी शावर साजरी करणार आहेत।,Te ek baby shower saajree karanaar aahot.,அவர்கள் ஒரு குழந்தை பிறப்பு விழாவை கொண்டாட உள்ளனர்.,Avargal oru kuzhandhai pirappu vizhaavai kondadullaar.,彼らはベビーシャワーをする予定です。,Karera bebishawaa o suru yotei desu.
She is very excited about her new book.,वह अपनी नई किताब के बारे में बहुत उत्साहित है।,Woh apni nai kitaab ke baare mein bahut utsaahit hai.,ती तिच्या नवनवीन पुस्तकाबद्दल खूप उत्साहित आहे.,Tee tichya navanaveen pustakaabaddal khoop utsaahit ahe.,அவர் தனது புதிய புத்தகம் குறித்து மிகவும் உற்சாகமாக உள்ளார்.,Avar thanatha puthiya puththagam kurithu mikavum urchaagam ullaar.,彼女は新しい本についてとても興奮しています。,Kanojo wa atarashii hon ni tsuite totemo koufun shite imasu.
He is learning to play chess.,वह शतरंज खेलना सीख रहा है।,Woh shatranj khelna seekh raha hai.,तो बुद्धिबळ खेळणे शिकत आहे.,To buddhibal khelne shikat ahe.,அவர் செஸ் விளையாடுவதை கற்றுக் கொண்டிருக்கிறார்.,Avar chess vilaiyaaduvathai kattuk kondirukkirar.,彼はチェスをすることを学んでいます。,Kare wa chesu o suru koto o manande imasu.
We are going to have a family game night.,हम एक परिवारिक खेल रात करने जा रहे हैं।,Hum ek parivaarik khel raat karne ja rahe hain.,आम्ही एक कुटुंब खेल रात्री करणार आहोत।,Aamhi ek kutumb khel raatri karanaar aahot.,நாங்கள் ஒரு குடும்ப விளையாட்டு இரவு நடத்த போகிறோம்.,Naangal oru kutumpa vilaiyaattu iravu nadaththa pokiroam.,私たちは家族ゲームナイトをする予定です。,Watashitachi wa kazoku geemu naito o suru yotei desu.
They are going to celebrate their daughter's birthday.,वे अपनी बेटी का जन्मदिन मनाने जा रहे हैं।,We apni beti ka janmadin manaane ja rahe hain.,ते त्यांच्या मुलीचा वाढदिवस साजरा करणार आहेत।,Te tyanya muleecha vaadhdivas saajraa karanaar aahot.,அவர்கள் தங்கள் மகளின் பிறந்தநாளை கொண்டாட உள்ளனர்.,Avargal thangal magalin pirandhanaalai kondadullaar.,彼らは娘の誕生日を祝う予定です。,Karera musume no tanjoubi o iwau yotei desu.
She is very happy with her new job.,वह अपनी नई नौकरी से बहुत खुश है।,Woh apni nai naukri se bahut khush hai.,ती तिच्या नवनोकरीने खूप आनंदी आहे.,Tee tichya navnokrine khoop aanandi ahe.,அவர் தனது புதிய வேலையில் மிகவும் மகிழ்ச்சியாக உள்ளார்.,Avar thanatha puthiya velaiyil mikavum makizhchiyaga ullaar.,彼女は新しい仕事にとても満足しています。,Kanojo wa atarashii shigoto ni totemo manzoku shite imasu.
He is planning to start a new diet.,वह एक नया आहार शुरू करने की योजना बना रहा है।,Woh ek naya aahaar shuru karne ki yojana bana raha hai.,तो एक नवीन आहार सुरू करण्याची योजना आखत आहे.,To ek naveen aahaar suru karanyaachi yojana aakhat ahe.,அவர் ஒரு புதிய உணவுமுறையை தொடங்க திட்டமிட்டுள்ளார்.,Avar oru puthiya unavumuraiyai thodanga thittamittullaar.,彼は新しいダイエットを始める計画を立てています。,Kare wa atarashii daietto o hajimeru keikaku o tate te imasu.
We are going to visit our friends this weekend.,हम इस वीकेंड अपने दोस्तों से मिलने जा रहे हैं।,Hum is weekend apne doston se milne ja rahe hain.,आम्ही या शनिवार-रविवारी आमच्या मित्रांना भेटणार आहोत।,Aamhi ya shanivaar-ravivaari aamchya mitraanna bhetanaar aahot.,நாங்கள் இந்த வார இறுதியில் எங்கள் நண்பர்களை சந்திக்கப் போகிறோம்.,Naangal indha vaara iruthiyil engal nanbaralai santhikka pokiroam.,私たちは今週末友達に会いに行きます。,Watashitachi wa konshuumatsu tomodachi ni ai ni ikimasu.
They are going to have a housewarming party.,वे एक हाउसवॉर्मिंग पार्टी करने जा रहे हैं।,We ek housewarming party karne ja rahe hain.,ते एक हाउसवॉर्मिंग पार्टी साजरी करणार आहेत।,Te ek housewarming party saajree karanaar aahot.,அவர்கள் ஒரு வீடு திறப்பு விழாவை கொண்டாட உள்ளனர்.,Avargal oru veedu thirappu vizhaavai kondadullaar.,彼らは新居パーティーをする予定です。,Karera shinkyo paatii o suru yotei desu.
